id;name;created_at;bo2m_ownerdto_id
1;Concrete Investment Account Saint Lucia;2019-09-23T14:24:58;1
2;Brand;2019-09-23T04:55:01;2
3;Chilean Peso Unidades de fomento;2019-09-22T22:09:31;3
4;Auto Loan Account modular Refined;2019-09-23T08:19:58;4
5;mint green e-business EXE;2019-09-23T11:30:19;5
6;Fresh granular Direct;2019-09-23T12:45:31;6
7;withdrawal;2019-09-23T19:16:38;7
8;cutting-edge ability Hat;2019-09-23T06:28:18;8
9;Bedfordshire Bahamian Dollar;2019-09-23T12:49:26;9
10;User-centric Gloves;2019-09-23T14:02:21;10
